CustomerID,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Mobile Phone,PreferredLoginDevice_Phone,PreferredPaymentMode_COD,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Male,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Married,MaritalStatus_Single,Churn
50001,4.0,3,6.0,3.0,3,2,9,1,11.0,1.0,1.0,5.0,159.93,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,1
50002,9.0,1,8.0,3.0,4,3,7,1,15.0,0.0,1.0,0.0,120.9,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,1
50003,9.0,1,30.0,2.0,4,3,6,1,14.0,0.0,1.0,3.0,120.28,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,1
50004,0.0,3,15.0,2.0,4,5,8,0,23.0,0.0,1.0,3.0,134.07,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,1
50005,0.0,1,12.0,3.0,3,5,3,0,11.0,1.0,1.0,3.0,129.6,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,1
50006,0.0,1,22.0,3.0,5,5,2,1,22.0,4.0,6.0,7.0,139.19,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,1
50007,9.0,3,11.0,2.0,3,2,4,0,14.0,0.0,1.0,0.0,120.86000000000001,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,1
50008,9.0,1,6.0,3.0,3,2,3,1,16.0,2.0,2.0,0.0,122.93,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,1
50009,13.0,3,9.0,3.0,4,3,2,1,14.0,0.0,1.0,2.0,126.83000000000001,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,1
50010,9.0,1,31.0,2.0,5,3,2,0,12.0,1.0,1.0,1.0,122.93,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,1
